High Income,Middle Income,Low Income,
-0.334040317334702,-0.39264011426679785,-0.3546183071219288,
-0.334040317334702,-0.3928474252886861,-0.3537776875336886,
-0.3340403173347019,-0.39306320825221774,-0.35504591342327074,
-0.3340403173347019,-0.39184854418879955,-0.35486891554986577,
-0.3340403173347021,-0.3915188170583627,-0.35267572582025436,
-0.33404031733470185,-0.3898101538481893,-0.3600883119441014,
-0.3288451287213482,-0.3898101538481895,-0.3548544533284761,
-0.32884512872134825,-0.38981015384818973,-0.3548544533284761,
-0.32884512872134825,-0.38981015384818957,-0.35485445332847604,
-0.32884512872134825,-0.3884205626709097,-0.35485445332847604,
-0.32884512872134825,-0.3884205626709094,-0.3548544533284759,
-0.32884512872134825,-0.3885828328464137,-0.3548544533284761,
-0.3288451287213482,-0.3885828328464139,-0.354854453328476,
-0.32884512872134825,-0.38858283284641365,-0.354854453328476,
-0.3288451287213482,-0.3882920784258211,-0.354854453328476,
-0.32884512872134825,-0.3882920784258213,-0.3548544533284761,
-0.3288451287213482,-0.38741241140895705,-0.3572719365519371,
-0.3288451287213483,-0.3890610141668462,-0.3572719365519372,
-0.3288451287213482,-0.3885560717442258,-0.3572719365519371,
-0.3288451287213482,-0.386968801121323,-0.3631165827808214,
-0.32884512872134825,-0.38800391846390775,-0.36311658278082143,
-0.3288451287213482,-0.38851589011014825,-0.36706006986538997,
-0.34754656095409825,-0.38736414332175106,-0.36706006986539,
-0.34754656095409836,-0.38709554067774504,-0.3670600698653901,
-0.34754656095409825,-0.38703370339326965,-0.36706006986539014,
-0.3475465609540983,-0.38865434265846116,-0.3670600698653902,
-0.34754656095409825,-0.38834780994261014,-0.3670600698653901,
-0.34754656095409814,-0.38925074811167776,-0.3670600698653901,
-0.3475465609540983,-0.39073413619253217,-0.36706006986538997,
-0.34754656095409825,-0.3893238906297349,-0.36706006986539,
-0.34754656095409825,-0.38857499224830544,-0.3670600698653901,
-0.3475465609540983,-0.38908244665559816,-0.36706006986539,
-0.34754656095409825,-0.3889996228170964,-0.35772096705468104,
-0.34754656095409825,-0.3892586643985339,-0.35772096705468115,
-0.3475465609540983,-0.38903003184151036,-0.3577209670546811,
-0.3475465609540983,-0.38831405000126956,-0.3569297661569139,
-0.34754656095409836,-0.3883140500012695,-0.3580686143728633,
-0.34754656095409825,-0.38831405000126956,-0.3601912800318719,
-0.3475465609540983,-0.38831405000126973,-0.35921979038928087,
-0.34754656095409825,-0.3883140500012696,-0.36066879230055404,
-0.34754656095409825,-0.3887029301464447,-0.35953623460167133,
-0.34754656095409825,-0.3887029301464448,-0.35658708031278574,
-0.34754656095409825,-0.3887029301464451,-0.3591002949021846,
-0.3475465609540983,-0.38870293014644497,-0.35830793198778843,
-0.34238361293356273,-0.38635839526900123,-0.35883911533987706,
-0.3423836129335627,-0.3869355551668492,-0.35099257548574747,
-0.34238361293356273,-0.38693555516684897,-0.3506173249799627,
-0.34238361293356256,-0.38693555516684897,-0.3506173249799628,
-0.3423836129335627,-0.3869355551668489,-0.34582040868208147,
-0.34238361293356273,-0.38693555516684924,-0.3458204086820815,
-0.34238361293356273,-0.3869355551668489,-0.34582040868208147,
-0.3423836129335627,-0.38693555516684874,-0.3458204086820815,
-0.3423836129335627,-0.3869355551668489,-0.3458204086820817,
-0.34238361293356256,-0.3913036724840544,-0.3458204086820814,
-0.3423836129335627,-0.3913036724840546,-0.3458204086820815,
-0.3423836129335627,-0.3891010848106202,-0.3458204086820815,
-0.3423836129335627,-0.3894869322684433,-0.34582040868208164,
-0.3423836129335627,-0.3891515018615438,-0.3458204086820816,
-0.3423836129335627,-0.3894785868536572,-0.3458204086820817,
-0.3423836129335627,-0.3894004976110399,-0.34582040868208147,
-0.3423836129335627,-0.38944658560919776,-0.3458204086820816,
-0.3423836129335627,-0.38776120441381723,-0.3458204086820816,
-0.3423836129335627,-0.3867833397298913,-0.34943687519283156,
