High Income,Middle Income,Low Income
0,55.55555555555556,44.44444444444444
0,55.55555555555556,44.44444444444444
0,55.55555555555556,44.44444444444444
0,55.55555555555556,44.44444444444444
0,55.55555555555556,44.44444444444444
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,60,40
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
0,63.63636363636363,36.36363636363637
