id,income,income-group,wtp,parking-offender?,distance-parking-target,price-paid,search-time,wants-to-park,die?,reinitialize?,utility-value,mean-utility,informed-flag,agent-strategy-flag,wait-time,park-time,switch-strategy-flag
1214,22697.309370023282,1,2.6235237978814423,true,-99,-99,1,false,true,true,-0.328533780876247,-0.36661833841140407,1,1,0,12397.563627425026,0
1201,23345.638052091956,1,5.910717606224556,false,-99,-99,25,false,true,true,-0.1227941732115195,-0.36661833841140407,1,3,0,7782.860952789919,0
944,36683.10977050853,1,7.6006756098093184,false,-99,-99,47,false,true,true,-0.31253104146368377,-0.36772393253171104,2,3,0,3827.1222885500274,0
1192,25437.29747393977,1,4.7706815650830485,false,-99,-99,37,false,true,true,-0.2300855387566086,-0.36772393253171104,0,6,0,4262.09971181251,0
987,33824.16788289907,1,3.267220385265602,true,-99,-99,47,false,true,true,-0.07578813614591895,-0.36772393253171104,1,2,0,9716.709696227126,0
1042,40646.79062490814,1,3.9256878426221635,true,-99,-99,49,false,true,true,-0.025947994864205626,-0.36870047984282955,1,5,0,23750.640728392787,0
1035,35854.257013544266,1,5.46566405902845,false,-99,-99,55,false,true,true,-0.30273892825588267,-0.36955271491146574,1,5,0,9808.580155936597,0
1200,28804.131865127565,1,2.7707625613116593,true,-99,-99,39,false,true,true,-0.05601508355209117,-0.3695863570418203,0,6,0,3695.0778337337583,0
1210,18714.600086603885,1,5.100495348233773,false,-99,-99,27,false,true,true,-1.0511252600939753,-0.37082017526618366,1,1,0,10047.091347847865,0
1215,24485.914801765102,1,5.24502388489967,false,-99,-99,19,false,true,true,-0.5591176934136441,-0.36899176755991375,1,3,0,4554.943562425754,0
985,20479.903974527813,1,4.8533802228679095,false,-99,-99,69,false,true,true,-0.829962016683163,-0.3672835701484098,1,1,0,3142.970888792883,0
1026,26799.54448793298,1,4.351061072537122,false,-99,-99,78,false,true,true,-0.3322565824805782,-0.36640975486094085,2,1,0,3110.0644163041525,0
1108,31560.203260273243,1,4.736779884611425,false,-99,-99,80,false,true,true,-0.4585512238604778,-0.3661145066004314,1,2,0,1498.3814816772594,0
947,36810.294315797015,1,4.055553433994887,false,-99,-99,80,false,true,true,-0.07294427325159361,-0.3661145066004314,1,2,0,8044.203575879647,0
1053,26872.77304169632,1,4.11632160522761,false,-99,-99,81,false,true,true,-0.15700789003904936,-0.36485507027253455,1,3,0,4364.596412573176,0
1123,24565.16908757871,1,8.392415971060691,false,-99,-99,82,false,true,true,-0.4387528117423388,-0.3652237292652575,1,1,0,6347.082743577243,0
1065,16443.12151229899,0,2.925253472531126,false,-99,-99,82,false,true,true,-0.4067403080082493,-0.3652237292652575,0,6,0,8187.064568231206,0
1146,16976.820383648414,0,0.820912282230786,false,-99,-99,82,false,true,true,-0.5553802324571847,-0.3652237292652575,1,5,0,12970.046347915626,0
1030,31448.280363239308,1,3.5960536461647044,true,-99,-99,84,false,true,true,-0.2183489867032331,-0.3644431493049178,0,7,0,1269.3580097088507,0
1202,102177.90533058469,2,5.6568587409437034,true,-99,-99,65,false,true,true,-0.28520827559739487,-0.365322118017613,1,3,0,2497.0310212579316,0
1018,21138.936092883363,1,5.597563639358421,false,-99,-99,86,false,true,true,-0.3765813088533174,-0.36331206647834247,1,1,0,9746.334075958863,0
974,45148.70884958954,1,4.361579192518669,false,-99,-99,87,false,true,true,-0.15724375926283807,-0.36264934510284935,0,6,0,19593.029455679745,0
1213,16099.362215764198,0,2.6971353857648515,false,-99,-99,44,false,true,true,-0.5794563154684129,-0.36264934510284935,1,4,0,1777.2967324846047,0
1236,40880.6699537623,1,3.686698723765744,false,-99,-99,7,false,true,true,-0.7027083782823342,-0.3630081613784467,2,1,0,9483.80768254672,0
1151,22684.59069881194,1,6.248614062071418,false,-99,-99,99,false,true,true,-1.5728278273021965,-0.3616044207158189,1,1,0,6201.813090860612,0
1107,12771.732318884151,0,3.2146739097771606,false,-99,-99,99,false,true,true,-0.7522055818889211,-0.3616044207158189,2,1,0,5934.180256339142,0
1167,27306.393149163065,1,6.195440622265702,false,-99,-99,100,false,true,true,-0.2781839654829807,-0.35653018702476574,1,1,0,5816.5649538504495,0
1102,25178.91250731854,1,2.068412100228974,false,-99,-99,101,false,true,true,-0.3583735070709921,-0.35604301413698725,0,6,0,5063.034902593329,0
1046,18238.17052126464,1,3.5380560652056645,false,-99,-99,101,false,true,true,-0.4588788307189114,-0.35604301413698725,1,3,0,5057.729534048887,0
1178,10679.308825488399,0,3.3347448767388563,false,-99,-99,102,false,true,true,-0.26470184350826154,-0.3538844959796148,0,7,0,2795.3836592634,0
959,27998.43519005277,1,3.0954212303905733,false,-99,-99,103,false,true,true,-0.5652937017072293,-0.3554969576805235,1,4,0,9266.322940723681,0
927,28239.23544350438,1,3.390004771798904,false,-99,-99,103,false,true,true,-0.05821833448308994,-0.3554969576805235,2,2,0,3740.3844396879476,0
1241,19883.977171618928,1,6.21597094953945,true,-99,-99,2,false,true,true,-0.25422976627113886,-0.3554969576805235,1,1,0,1851.958063095902,0
971,57791.81376763126,2,7.475357583569132,true,-99,-99,105,false,true,true,-0.5354031923524966,-0.35565174253899545,1,3,0,11878.184266976567,0
1024,40152.53313084679,1,3.699895299894183,false,-99,-99,106,false,true,true,-0.574645424875843,-0.354440169782156,2,4,0,4118.715126734296,0
1173,32559.39524769607,1,4.32903956934986,true,-99,-99,107,false,true,true,-0.45806008478445664,-0.3543545888023369,1,2,0,2486.6789364206606,0
1246,17689.68474633719,1,5.357323280936654,false,-99,-99,3,false,true,true,-0.4944943712721841,-0.3543545888023369,1,3,0,8405.886111758577,0
1247,28677.044476707568,1,4.480505624731412,false,-99,-99,3,false,true,true,-0.26048190551540473,-0.3543545888023369,0,6,0,650.7762751325107,0
1077,22003.656986323396,1,5.989671768974639,false,-99,-99,109,false,true,true,-0.017497070802390047,-0.3575359169498968,1,2,0,8055.563144147557,0
908,10457.948303612326,0,2.1637354322064164,false,-99,-99,111,false,true,true,-0.18609307841712863,-0.35857308370817614,0,6,0,4593.83485670875,0
1174,41279.99226258103,1,4.12109850178057,false,-99,-99,111,false,true,true,-0.18602777496870973,-0.35857308370817614,2,1,0,7902.139441889837,0
1206,31075.247196826684,1,3.6423348547413616,false,-99,-99,83,false,true,true,-0.5394349717372878,-0.35857308370817614,2,4,0,422.37359958452043,0
976,22876.49722105463,1,3.483665724045915,true,-99,-99,114,false,true,true,-0.3355230846174789,-0.3587620192445434,0,7,0,11731.907116207416,0
1120,16504.952903613594,0,2.1226058181029903,true,-99,-99,116,false,true,true,-3.1114513252545737,-0.3586922419936164,2,5,0,2121.241090958518,0
1217,32429.104582277836,1,5.125541508745065,false,-99,-99,69,false,true,true,-0.41308461043440814,-0.3494387734923949,1,4,0,8586.78503933293,0
1224,28269.029306838496,1,2.8745142877272567,true,-99,-99,52,false,true,true,-0.046658469962485266,-0.3489736394837651,0,7,0,2028.202162666086,0
1118,28170.15042494853,1,4.439233462290302,false,-99,-99,118,false,true,true,-0.17272360943099085,-0.3489736394837651,2,4,0,8678.56245612005,0
1240,39304.681301272154,1,2.6965040206386877,false,-99,-99,18,false,true,true,-0.5831787180130404,-0.3489736394837651,2,1,0,7424.825975147563,0
997,16560.671420309343,0,1.8539666452649972,false,-99,-99,119,false,true,true,-0.42988450410123413,-0.35349038029527996,1,1,0,8448.42725581252,0
1261,24086.575980747264,1,6.502378615391717,false,-99,-99,1,false,true,true,-1.487512689085534,-0.3515354684836008,1,3,0,12678.391170656698,0
972,26205.151431104794,1,4.194878092076529,false,-99,-99,120,false,true,true,-0.36285169415266616,-0.3515354684836008,1,1,0,13362.806894471738,0
1221,22099.555634285036,1,5.658511431660251,false,-99,-99,65,false,true,true,-0.31283156736225975,-0.347773263814346,2,1,0,3564.845855705064,0
1233,27647.03444805523,1,3.3421619704746295,true,-99,-99,38,false,true,true,-0.3884092740678283,-0.3477327182054058,2,5,0,5474.996562741217,0
1234,52028.65258650839,2,10.467304183181946,false,-99,-99,37,false,true,true,-0.4458901709501847,-0.3477327182054058,1,5,0,361.89328757398084,0
1193,25645.61308917658,1,4.525007685052046,false,-99,-99,113,false,true,true,-0.4277985142513239,-0.3461940641154373,1,1,0,11267.451034742913,0
1195,48807.15416655844,2,6.520628773373574,false,-99,-99,113,false,true,true,-0.3596416435756411,-0.3461940641154373,1,2,0,11318.08916616633,0
1109,19154.058833889987,1,5.481726332913901,true,-99,-99,124,false,true,true,-0.42722542486282106,-0.3461940641154373,1,5,0,6184.480631270765,0
1033,48438.728628576864,2,6.138284140341001,false,-99,-99,126,false,true,true,0.0026410371170010674,-0.3453081274984411,0,7,0,17353.249054419728,0
1216,21170.601627377077,1,4.694845081021744,false,-99,-99,80,false,true,true,-0.22388849676612754,-0.3453081274984411,0,6,0,2462.072713031919,0
990,46049.66911474317,1,5.1081502364183455,false,-99,-99,127,false,true,true,-0.5195376971304899,-0.3473657890496703,2,3,0,8416.494678720119,0
1232,17846.69098400185,1,4.168073803791796,false,-99,-99,45,false,true,true,-0.4824144307344394,-0.34831399144939695,0,6,0,2140.4310967650304,0
1197,14956.01482646183,0,2.3435295378350007,false,-99,-99,115,false,true,true,-0.6795424937064148,-0.34782359034532156,0,6,0,5070.406000536799,0
1212,28368.54477946866,1,2.2669748146303497,true,-99,-99,91,false,true,true,-0.47481801812958274,-0.3467523408783132,1,2,0,7650.0142539703465,0
1196,64948.98081257463,2,11.463613422095003,true,-99,-99,119,false,true,true,-0.14132493172894106,-0.3467523408783132,0,6,0,5837.274816220605,0
965,14997.33605282199,0,7.208565387410703,false,-99,-99,135,false,true,true,0.1405067335355823,-0.34550658523622263,0,6,0,7732.648563169657,0
1075,28157.07881067741,1,6.048074245326239,false,-99,-99,135,false,true,true,-0.23844303907634443,-0.34550658523622263,1,4,0,3659.850534895561,0
