id,income,income-group,wtp,parking-offender?,distance-parking-target,price-paid,search-time,wants-to-park,die?,reinitialize?
1211,14945.742374317118,0,1.6636790560541193,false,-99,-99,32,false,true,true
1010,12993.208027816341,0,1.8143045823986632,false,-99,-99,76,false,true,true
1170,30679.319022669395,1,5.508170968554538,true,-99,-99,77,false,true,true
1162,20529.24656535387,1,3.1789314629362737,true,-99,-99,86,false,true,true
885,12315.698909849663,0,4.840064098639128,false,-99,-99,93,false,true,true
1097,26589.306359566275,1,3.490602260722038,true,-99,-99,93,false,true,true
898,18041.6697636087,1,4.268575751834594,false,-99,-99,94,false,true,true
995,40268.308143548165,1,3.008606887764205,true,-99,-99,95,false,true,true
1018,9894.001775195553,0,4.426213994237183,true,-99,-99,97,false,true,true
1146,19559.464464083132,1,3.2126080241420905,false,-99,-99,98,false,true,true
1231,35794.00344539992,1,5.635961321260151,true,-99,-99,3,false,true,true
988,61727.75036760069,2,6.983331087618148,false,-99,-99,99,false,true,true
907,29956.390566356473,1,3.5184107170660375,false,-99,-99,100,false,true,true
1147,14985.86850621248,0,3.8049261805419947,true,-99,-99,100,false,true,true
970,20386.06677322977,1,5.352684604072883,false,-99,-99,100,false,true,true
1061,14173.845888093014,0,1.7153933062697762,false,-99,-99,103,false,true,true
1065,8317.207927356189,0,1.3123631159995475,true,-99,-99,103,false,true,true
1091,31153.990539615672,1,2.8303102339543686,true,-99,-99,104,false,true,true
1226,33127.19268019061,1,5.06859842773064,false,-99,-99,26,false,true,true
1204,27920.81152896763,1,4.070352990634771,true,-99,-99,78,false,true,true
1205,22380.59273362468,1,4.249580049866631,false,-99,-99,77,false,true,true
964,53608.65021625781,2,13.486946348220226,true,-99,-99,106,false,true,true
1019,27888.860069838338,1,6.001710928613296,false,-99,-99,107,false,true,true
1210,30441.353629227826,1,4.044045992255131,false,-99,-99,72,false,true,true
1118,19944.372146705995,1,6.161770505770225,true,-99,-99,107,false,true,true
937,22981.055140984838,1,5.104054610830896,false,-99,-99,109,false,true,true
965,22720.46165385755,1,3.7252743024901247,false,-99,-99,110,false,true,true
1108,23272.53679689752,1,3.327462715167161,false,-99,-99,112,false,true,true
1214,46388.78908577559,1,4.997312964408923,false,-99,-99,68,false,true,true
1197,9261.971919747106,0,2.2380665242259337,false,-99,-99,102,false,true,true
1196,39750.24663402713,1,4.928529100784626,true,-99,-99,106,false,true,true
1058,27543.528116867194,1,4.396479149132259,false,-99,-99,118,false,true,true
1246,18419.09698550458,1,3.1073787433005933,true,-99,-99,10,false,true,true
1235,60108.46011965443,2,8.188085918068667,false,-99,-99,20,false,true,true
1206,14741.624736024423,0,3.528272154833445,true,-99,-99,88,false,true,true
977,20035.733332387295,1,3.6028267078137644,true,-99,-99,121,false,true,true
1078,38158.50118186358,1,5.105949285016535,true,-99,-99,121,false,true,true
1110,24404.791740282526,1,3.839604890925427,false,-99,-99,122,false,true,true
1248,20984.08766608974,1,4.692484443660535,false,-99,-99,15,false,true,true
946,8485.813497049876,0,1.508681174100419,false,-99,-99,124,false,true,true
913,23883.324424319955,1,4.135984718731453,false,-99,-99,124,false,true,true
1255,40610.69549499976,1,3.437619638552494,false,-99,-99,8,false,true,true
1254,27762.56587187794,1,3.3204152979540433,false,-99,-99,10,false,true,true
